t,nocache_prefix_smooth_ms,cache_prefix_smooth_ms,nocache_postfix_smooth_ms,cache_postfix_smooth_ms
198,10.2459,10.3272,9.5688,9.3504
199,10.2682,10.3613,9.5458,9.3797
200,10.2975,10.3823,9.5468,9.4393
201,10.3091,10.4084,9.5693,9.4864
202,10.3562,10.4147,9.6037,9.5636
203,10.3788,10.4452,9.6340,9.5831
204,10.4033,10.4743,9.6945,9.5999
205,10.4259,10.5047,9.7391,9.6212
206,10.4458,10.4987,9.7540,9.6725
207,10.4615,10.4720,9.8020,9.7030
208,10.4838,10.5072,9.8684,9.7225
209,10.4968,10.4988,9.9141,9.7566
210,10.5059,10.5318,9.9594,9.7684
211,10.5183,10.5547,10.0333,9.7974
212,10.5646,10.6210,10.0509,9.7889
213,10.6106,10.6105,10.0743,9.8272
214,10.6271,10.6125,10.0985,9.8514
215,10.6668,10.6509,10.1514,9.8754
216,10.6923,10.6631,10.2028,9.9146
217,10.7219,10.6723,10.2343,9.9130
218,10.7400,10.6713,10.2942,9.9646
219,10.7921,10.6879,10.3359,9.9940
220,10.8215,10.6989,10.4071,10.0017
221,10.8309,10.7112,10.4466,10.0061
222,10.8437,10.6836,10.4628,9.9910
223,10.8547,10.6934,10.4648,9.9755
224,10.8862,10.6738,10.4631,9.9476
225,10.9282,10.7178,10.4600,9.9744
226,10.9588,10.7244,10.4884,10.0056
227,10.9818,10.7494,10.5033,9.9653
228,11.0015,10.8030,10.4939,9.9696
229,11.0247,10.7911,10.4851,9.9839
230,11.0730,10.8068,10.5123,9.9642
231,11.1188,10.7921,10.5466,9.9817
232,11.1498,10.8167,10.5475,9.9807
233,11.1558,10.8151,10.6036,9.9986
234,11.1683,10.8562,10.6445,9.9964
235,11.1942,10.8652,10.6759,9.9931
236,11.2062,10.8922,10.7007,10.0324
237,11.2439,10.9032,10.7076,10.0457
238,11.2773,10.9515,10.7391,10.0578
239,11.2950,10.9459,10.7651,10.0484
240,11.3014,10.9772,10.7847,10.0452
241,11.3332,11.0042,10.7855,10.0692
242,11.3720,11.0471,10.8198,10.0894
243,11.4164,11.0971,10.8770,10.1136
244,11.4422,11.1599,10.9272,10.1228
245,11.4914,11.2108,10.9906,10.1764
246,11.5109,11.1809,11.0281,10.1885
247,11.5422,11.1906,11.0599,10.1805
248,11.5657,11.2004,11.1089,10.2285
249,11.5963,11.2205,11.1643,10.2286
250,11.6205,11.2564,11.2381,10.2350
251,11.6460,11.2810,11.2662,10.2742
252,11.6680,11.3316,11.2924,10.2882
253,11.7044,11.3453,11.3520,10.2993
254,11.7422,11.3623,11.3507,10.3191
255,11.7768,11.3662,11.3728,10.3268
256,11.8026,11.3770,11.4066,10.3370
257,11.8297,11.3763,11.4339,10.3137
258,11.8400,11.3774,11.4834,10.3294
259,11.8677,11.3869,11.4909,10.3594
260,11.9148,11.4339,11.5115,10.3765
261,11.9460,11.4569,11.5308,10.3921
262,11.9746,11.4685,11.5644,10.3844
263,12.0210,11.4655,11.5923,10.3720
264,12.0429,11.4585,11.6062,10.3659
265,12.0592,11.4534,11.6363,10.3923
266,12.0576,11.4753,11.6634,10.4320
267,12.0856,11.5201,11.6969,10.4240
268,12.1164,11.5613,11.7155,10.4361
269,12.1702,11.5820,11.7496,10.4419
270,12.1975,11.6033,11.7754,10.4637
271,12.2151,11.6221,11.7978,10.4738
272,12.2314,11.6588,11.8306,10.5012
273,12.2570,11.6534,11.8333,10.5112
274,12.2705,11.6588,11.8220,10.5005
275,12.2925,11.6634,11.8644,10.5204
276,12.3056,11.7011,11.8821,10.5691
277,12.3322,11.7496,11.8935,10.6123
278,12.3530,11.7536,11.9003,10.6443
279,12.3827,11.7989,11.9038,10.6453
280,12.3971,11.8005,11.9373,10.6701
281,12.3983,11.8166,11.9477,10.6907
282,12.4217,11.8400,11.9819,10.7235
283,12.4498,11.8550,12.0076,10.7514
284,12.4634,11.8782,12.0249,10.7675
285,12.4943,11.9674,12.0429,10.8192
286,12.5301,12.0044,12.0429,10.8312
287,12.5642,12.0052,12.0389,10.8461
288,12.5894,12.0153,12.0678,10.8758
289,12.5990,12.0183,12.0991,10.8903
290,12.6068,12.0316,12.1084,10.9002
291,12.6247,12.0692,12.1250,10.9326
292,12.6597,12.0663,12.1168,10.9524
293,12.6995,12.0600,12.1286,10.9448
294,12.7401,12.0999,12.1750,10.9718
295,12.7723,12.1107,12.2322,11.0161
296,12.8033,12.1626,12.2622,11.0758
297,12.8529,12.1779,12.2979,11.0464
298,12.8909,12.1882,12.3199,11.0603
299,12.9200,12.2042,12.3610,11.0981
300,12.9714,12.2275,12.3912,11.1473
301,13.0176,12.2289,12.4306,11.1552
302,13.0612,12.2427,12.4785,11.1529
303,13.0851,12.2438,12.5124,11.1488
304,13.1503,12.2491,12.5842,11.1615
305,13.2017,12.2558,12.6268,11.1919
306,13.2558,12.2182,12.6769,11.2375
307,13.3304,12.1988,12.7314,11.2590
308,13.3990,12.2140,12.7714,11.2437
309,13.4550,12.2386,12.8116,11.2705
310,13.5237,12.2553,12.8646,11.2925
311,13.5763,12.2833,12.9136,11.3354
312,13.6478,12.2791,12.9575,11.3476
313,13.7127,12.3080,13.0173,11.3867
314,13.7675,12.3145,13.0724,11.4348
315,13.8047,12.2893,13.1261,11.4449
316,13.8614,12.3121,13.1435,11.4660
317,13.9120,12.3013,13.1730,11.4799
318,13.9486,12.2841,13.2103,11.5108
319,13.9933,12.2977,13.2537,11.5146
320,14.0667,12.3531,13.3016,11.5009
321,14.0985,12.3360,13.3549,11.5105
322,14.1560,12.3775,13.4085,11.5327
323,14.2179,12.3618,13.4587,11.5904
324,14.2893,12.3532,13.5175,11.6256
325,14.3263,12.4251,13.5185,11.7324
326,14.3471,12.4879,13.5386,11.7752
327,14.3644,12.5237,13.5684,11.7598
328,14.3723,12.6248,13.5958,11.8173
329,14.4012,12.6900,13.6403,11.8828
330,14.4292,12.7242,13.6691,11.9324
331,14.4444,12.7621,13.6658,11.9991
332,14.4700,12.8028,13.6967,12.0221
333,14.4941,12.8411,13.7151,12.0622
334,14.5195,12.8807,13.7282,12.1078
335,14.5547,12.9424,13.7512,12.1416
336,14.5964,13.0363,13.7627,12.2097
337,14.6209,13.0937,13.7940,12.2620
338,14.6588,13.1602,13.8524,12.2902
339,14.7012,13.2322,13.8770,12.3335
340,14.7460,13.2935,13.9094,12.3839
341,14.7652,13.2995,13.9412,12.4387
342,14.7983,13.3647,13.9804,12.4702
343,14.8101,13.4038,13.9880,12.5217
344,14.8264,13.4980,14.0004,12.5476
345,14.8413,13.5911,13.9910,12.6330
346,14.8525,13.6188,14.0392,12.5975
347,14.8766,13.6025,14.0991,12.6287
348,14.9142,13.6403,14.1261,12.6879
349,14.9599,13.6189,14.1575,12.7092
350,14.9755,13.6310,14.1955,12.7619
351,15.0143,13.6708,14.2237,12.7832
352,15.0433,13.6994,14.2664,12.7747
353,15.0755,13.7302,14.2668,12.7994
354,15.0963,13.7595,14.3083,12.8169
355,15.1345,13.7592,14.3640,12.8362
356,15.1414,13.7677,14.3842,12.8411
357,15.1607,13.7418,14.3972,12.8392
358,15.1903,13.7301,14.4413,12.8366
359,15.1994,13.7177,14.4636,12.8299
360,15.2144,13.7264,14.5061,12.8633
361,15.2355,13.7524,14.5737,12.9125
362,15.2604,13.7960,14.5672,12.9401
363,15.2963,13.8230,14.5810,12.9776
364,15.3204,13.8418,14.5986,12.9755
365,15.3592,13.8276,14.6147,12.9946
366,15.3973,13.8488,14.6565,12.9566
367,15.4045,13.8398,14.6458,12.9695
368,15.4510,13.8717,14.6487,12.9801
369,15.4958,13.8753,14.6772,12.9614
370,15.5157,13.8753,14.7254,12.9391
371,15.5457,13.9110,14.7424,12.8983
372,15.5719,13.9088,14.7932,12.9111
373,15.6315,13.8955,14.8382,12.9239
374,15.6762,13.9251,14.9259,12.9218
375,15.7148,13.9515,14.9689,12.9194
376,15.7629,13.9980,15.0026,12.9181
377,15.8239,13.9904,15.0386,12.9279
378,15.8735,14.0034,15.0938,12.9398
379,15.9183,13.9795,15.1125,12.9530
380,15.9931,14.0263,15.1360,12.9618
381,16.0550,14.0691,15.1750,12.9717
382,16.1099,14.0563,15.1946,12.9613
383,16.1453,14.0214,15.2651,12.9959
384,16.1880,14.0028,15.3096,12.9826
385,16.2443,14.0425,15.3659,12.9872
386,16.2835,14.0558,15.4173,13.0454
387,16.3120,14.0187,15.4604,13.0851
388,16.3753,14.0196,15.5062,13.0897
389,16.4162,14.0338,15.5213,13.0731
390,16.4429,14.0431,15.5362,13.0720
391,16.4795,14.0646,15.5401,13.1308
392,16.5286,14.0670,15.5715,13.1393
393,16.5698,14.0789,15.5798,13.1483
394,16.5833,14.1041,15.6190,13.1725
395,16.6006,14.0897,15.6195,13.1912
396,16.6393,14.0747,15.6641,13.2123
397,16.6566,14.0436,15.6902,13.2264
398,16.6973,14.0940,15.7429,13.2275
399,16.7094,14.0908,15.7474,13.2334
400,16.7458,14.1447,15.7811,13.2748
401,16.7521,14.1254,15.8455,13.3237
402,16.7959,14.1296,15.9085,13.3534
403,16.7999,14.1622,15.9284,13.3579
404,16.8401,14.1828,15.9366,13.3401
405,16.8612,14.1986,15.9318,13.3582
406,16.8928,14.1675,15.9155,13.3872
407,16.9042,14.1974,15.9408,13.3561
408,16.9410,14.2457,15.9458,13.3439
409,16.9790,14.2448,15.9939,13.3803
410,16.9998,14.2760,16.0571,13.4059
411,17.0114,14.2705,16.1197,13.4861
412,17.0299,14.2857,16.1301,13.5140
413,17.0560,14.2740,16.1752,13.5769
414,17.0750,14.3099,16.2349,13.5971
415,17.1136,14.3390,16.2731,13.6337
416,17.1477,14.3332,16.3197,13.6394
417,17.1673,14.3741,16.3513,13.6664
418,17.1722,14.4256,16.3880,13.6771
419,17.1577,14.4392,16.3854,13.7204
420,17.1921,14.4956,16.4175,13.7404
421,17.2118,14.5156,16.4245,13.7043
422,17.2269,14.5396,16.3956,13.6859
423,17.2082,14.5135,16.3526,13.6786
424,17.2270,14.5209,16.3341,13.6762
425,17.2681,14.5411,16.3737,13.6762
426,17.2892,14.5433,16.4397,13.6901
427,17.2976,14.5740,16.5091,13.6971
428,17.3275,14.5942,16.5300,13.6789
429,17.3478,14.6279,16.5592,13.6898
430,17.3508,14.6910,16.5515,13.6771
431,17.3678,14.6798,16.5779,13.7061
432,17.4622,14.7083,16.6414,13.6682
433,17.5545,14.6859,16.7545,13.6254
434,17.6230,14.7209,16.8175,13.5720
435,17.6908,14.7004,16.8365,13.5596
436,17.7616,14.7342,16.8859,13.5498
437,17.8384,14.7895,16.9365,13.6002
438,17.9346,14.8125,17.0122,13.6017
439,18.0153,14.7868,17.0862,13.6105
440,18.1217,14.8035,17.2067,13.6087
441,18.2071,14.7950,17.3500,13.6204
442,18.2914,14.7995,17.4488,13.6466
443,18.3863,14.7960,17.5273,13.6767
444,18.4977,14.8215,17.6247,13.7158
445,18.5996,14.8279,17.7180,13.7502
446,18.6702,14.8571,17.7925,13.7913
447,18.7521,14.9102,17.8648,13.7966
448,18.8431,14.9028,17.9207,13.8204
449,18.9401,14.9028,18.0185,13.8437
450,19.0425,14.8739,18.1276,13.8716
451,19.1261,14.8541,18.2528,13.8696
452,19.2133,14.8830,18.3516,13.8626
453,19.2311,14.9306,18.3735,13.8601
454,19.2601,14.9749,18.3866,13.8753
455,19.2720,14.9700,18.3966,13.8937
456,19.3096,15.0065,18.4678,13.9252
457,19.3346,14.9976,18.5038,13.9126
458,19.3724,14.9643,18.5575,13.8964
459,19.3885,14.9418,18.5516,13.9221
460,19.4383,14.9796,18.5640,13.9688
461,19.4750,14.9826,18.5602,13.9713
462,19.5263,14.9956,18.5646,13.9759
463,19.5364,15.0449,18.6168,13.9927
464,19.5603,15.1042,18.6802,13.9838
465,19.5810,15.1072,18.7390,13.9649
466,19.6053,15.1341,18.7662,13.9605
467,19.6172,15.1271,18.7652,13.9310
468,19.6512,15.1369,18.7827,13.9204
469,19.6751,15.1801,18.8290,13.9203
470,19.7034,15.1867,18.8673,13.9119
471,19.7077,15.1914,18.9199,13.9050
472,19.7570,15.1955,18.9286,13.9278
473,19.8043,15.2068,18.9249,13.9231
474,19.8554,15.1948,18.9415,13.9489
475,19.8773,15.2321,18.9847,13.9496
476,19.9326,15.2332,19.0665,13.9712
477,19.9809,15.2189,19.0991,13.9491
478,20.0452,15.1912,19.1012,13.9638
479,20.0597,15.2228,19.1190,13.9708
480,20.0957,15.2460,19.1354,13.9510
481,20.1378,15.2631,19.1818,13.9654
482,20.1799,15.2929,19.2694,13.9673
483,20.1951,15.3078,19.2916,13.9663
484,20.2515,15.2901,19.3198,14.0084
485,20.3001,15.2446,19.3456,14.0753
486,20.3269,15.2999,19.3287,14.1350
487,20.3570,15.3282,19.3552,14.1748
488,20.4121,15.3465,19.4289,14.2411
489,20.4532,15.3552,19.4497,14.2586
490,20.4849,15.3421,19.4867,14.2572
